August_1m,August_2m,August_3m,August_4m,December_1m,December_2m,December_3m,December_4m,August_1t,August_2t,August_3t,August_4t,December_1t,December_2t,December_3t,December_4t
227,NA,NA,NA,NA,NA,68,NA,2772,NA,NA,NA,NA,NA,1796,NA
NA,NA,77,NA,NA,NA,NA,NA,NA,NA,2687,NA,NA,NA,NA,NA
265,183,155,80,NA,NA,102,NA,2946,2779,3388,2993,NA,NA,4875,NA
NA,NA,77,NA,NA,130,NA,NA,NA,NA,3711,NA,NA,7228,NA,NA
113,NA,NA,NA,NA,216,170,106,2841,NA,NA,NA,NA,2551,3102,2870
NA,NA,116,NA,NA,NA,NA,NA,NA,NA,3076,NA,NA,NA,NA,NA
NA,NA,77,NA,NA,NA,NA,NA,NA,NA,1391,NA,NA,NA,NA,NA
NA,NA,155,NA,NA,NA,68,70,NA,NA,311,NA,NA,NA,307,459
NA,NA,116,NA,249,520,273,601,NA,NA,1328,NA,1081,1626,1467,1980
NA,NA,77,NA,NA,NA,NA,NA,NA,NA,1257,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,1706,NA
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,307,NA
NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,799,NA
113,NA,NA,NA,NA,NA,NA,70,531,NA,NA,NA,NA,NA,NA,674
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,1206,NA,NA,NA
NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA,NA,476,NA,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,733,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,22752,NA
NA,73,NA,NA,124,NA,NA,NA,NA,18342,NA,NA,24979,NA,NA,NA
NA,NA,NA,NA,NA,2992,NA,NA,NA,NA,NA,NA,NA,18471,NA,NA
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,300
NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,80837,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA,NA,NA,91011,NA
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,68258,NA
NA,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,55575,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,473,NA,NA,NA,NA,NA,NA,NA
NA,110,NA,NA,124,NA,NA,70,NA,220,NA,NA,145,NA,NA,88
NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,80837,NA,NA,NA,NA
NA,NA,116,NA,NA,NA,NA,NA,NA,NA,6876,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,4818,NA,NA
113,NA,NA,NA,416,303,580,531,4735,NA,NA,NA,7569,6324,8288,6723
NA,73,NA,NA,NA,130,136,70,NA,5643,NA,NA,NA,5204,6500,5901
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,5590
NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,5119,NA
NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,2377,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,1863
NA,NA,NA,161,83,NA,68,70,NA,NA,NA,1995,2191,NA,1796,2082
NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,1601,NA,NA,NA
NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,2628,NA,NA
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,1517
NA,NA,116,NA,83,NA,NA,177,NA,NA,292,NA,124,NA,NA,194
NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,3516,NA,NA
