August_1m,August_2m,August_3m,August_4m,December_1m,December_2m,December_3m,December_4m,August_1t,August_2t,August_3t,August_4t,December_1t,December_2t,December_3t,December_4t
8259,9281,7560,9134,12281,12099,11091,12322,11392,13016,10558,12793,13263,12790,12017,13080
3523,2934,2065,3273,2747,2211,2354,3647,7161,6038,4651,6432,3620,3102,3243,4849
757,1137,662,848,1332,1170,1433,1133,3591,4585,3081,3674,2622,2256,2405,2195
530,660,467,646,83,130,102,70,5149,6410,5919,6953,5551,6505,6022,6437
454,550,428,646,832,1474,1160,1062,1840,2402,1793,2184,1875,3233,2595,2458
795,953,623,646,1498,1517,1331,2089,3600,3158,3181,2728,2956,2730,2389,3750
833,696,818,767,1623,1257,1535,1097,1704,1467,1521,1435,2227,1713,2115,1593
1136,1247,1753,1374,3122,4033,4539,4709,2862,2642,3507,2810,4248,4985,5819,5821
2614,2861,2299,2061,6411,8456,7132,7329,5707,6114,5705,5396,9699,11474,10474,10546
454,550,467,687,624,823,750,778,6888,5981,5773,6134,2763,4336,3541,3508
1136,807,779,1172,3788,2818,2866,2018,3678,3321,2823,3092,5637,4598,4707,3347
378,440,311,525,1082,1040,1058,1062,5119,4358,4156,3892,3560,3552,3792,2992
1742,2201,2065,1495,1040,1821,1433,1168,4219,4991,5062,3494,8195,7885,6793,7587
340,440,233,727,1373,1691,1535,1416,1326,1577,1328,2121,2372,2602,2526,2266
1212,1283,1363,1293,541,1040,443,743,12628,14590,16046,17245,20045,25386,21127,24785
757,917,935,687,2581,1994,2627,1982,10379,9454,11003,8588,17801,12468,17519,14473
151,330,311,282,707,780,955,708,5828,6473,7603,6287,5947,4972,5862,5324
3674,4145,4715,3718,2331,3599,3174,4001,29877,38382,36271,32335,7594,8237,7347,9197
151,293,116,161,416,823,750,814,2296,3089,1916,2377,1455,2080,1896,1805
1250,1210,935,889,2497,1474,2218,2195,6907,6022,6362,5488,8136,4593,8008,7269
681,513,506,282,541,563,477,460,2137,1450,1677,1458,666,758,546,690
4925,5209,4910,5416,4995,5421,5938,4567,12042,12030,12244,11774,19592,18070,20267,15696
833,623,1130,1091,791,823,887,672,2596,2711,2472,2791,1061,953,1057,849
151,220,506,444,3164,3339,4334,2266,8914,8152,8586,6175,10273,8105,10494,8122
1932,2017,2455,2505,1998,2818,3071,3151,9565,10906,13639,14238,19032,26847,24186,25010
2007,1283,1636,1818,2914,3859,2593,2266,4015,2714,2943,3903,4122,5201,3770,3362
454,220,350,282,1207,1127,1740,1451,14207,9569,10020,10881,16315,11505,15680,14094
416,220,896,363,707,780,682,424,928,660,1519,1092,790,802,750,460
227,110,116,121,416,433,443,318,9883,7860,7306,8083,8858,8031,8873,8386
719,330,233,363,1124,737,819,1062,5216,4522,4676,4229,4496,3336,3470,4149
1591,1614,1558,2263,3164,3903,3788,3080,3335,3635,2963,4085,4599,5616,5458,4162
909,1063,1247,1172,2497,3816,3754,2761,2859,3534,2886,2725,3790,5115,5512,4301
644,366,428,242,1165,780,682,601,2104,1930,2122,1112,2290,1689,1636,1291
113,183,233,161,1165,650,1228,885,549,531,623,404,1768,1040,1757,1257
1515,1687,1208,1091,2497,3079,2935,3647,15785,17577,13727,14550,12067,11707,15951,14588
7956,6823,6352,6224,1040,477,170,424,10665,8781,8402,8200,2081,910,494,849
189,110,77,202,291,390,580,354,1932,1897,1812,2464,1267,1172,1638,903
2424,2898,2260,3233,4829,7762,7132,6692,12761,11500,12022,12882,11693,13837,15921,14088
6402,7556,8105,6588,10574,9931,12798,11932,10445,11096,11747,9862,13385,12429,15309,14054
454,256,311,485,582,867,989,814,3418,3131,4212,3109,1955,1885,2590,1893
227,146,194,80,1373,780,716,531,2470,2223,2292,1107,4770,3279,3349,2825
3144,3741,3078,4890,5703,7589,8634,5559,7034,8562,8504,11644,9989,12523,13263,9684
1742,1504,1558,1212,2081,2125,2662,2691,5907,5529,5627,4773,5392,5273,6383,5665
1326,1283,1169,2142,5204,6331,7440,8002,4787,3798,4462,4687,8517,9652,10720,11563
1326,1320,1208,1818,2539,3165,2866,2761,2501,2584,2631,2971,3436,3947,3858,3487
530,843,857,848,999,1691,1160,1062,1422,2202,2435,1677,1415,2146,1689,1629
795,733,935,1091,2456,2602,2081,3045,6120,6270,7032,7739,10408,11167,11133,12229
303,146,77,161,624,433,477,672,568,403,234,303,665,455,546,866
606,770,779,727,2081,2471,1774,2089,7872,7407,8204,7994,13343,13079,12155,12975
3826,6749,7949,9457,2040,2862,2866,2195,8055,10851,12740,13747,8831,9029,9399,8711
189,110,194,242,416,520,341,318,2015,1393,1679,1515,1786,1845,1464,1239
416,366,506,282,749,520,955,778,2193,2038,2042,1373,2165,1581,2353,2284
2197,1724,1247,1050,1790,1257,1638,2266,6866,5785,5854,4434,3784,2687,3872,4443
530,330,233,242,915,867,1058,920,1532,1191,1053,1194,1892,1777,1808,1629
2652,2971,1714,1697,5495,5681,6040,6196,3352,3650,2143,2263,6059,6419,6674,7097
75,183,116,121,208,303,170,141,1037,1503,1016,1027,748,803,682,406
947,256,818,282,4704,3599,3583,3363,1703,879,1343,585,5164,3817,3788,3593
151,183,116,242,416,390,443,318,15154,15285,14613,17322,15419,13939,16432,15933
303,256,233,404,666,563,1023,814,3124,3423,3340,3425,4061,2777,4632,4308
1288,1173,1247,1374,2289,1778,2047,2938,20446,20239,17082,22528,21602,16312,18283,21142
568,990,584,404,1790,1127,1262,1593,1324,1834,1343,1513,2207,1517,1604,1964
1629,3044,2104,3435,791,1214,1433,1557,2688,4530,3640,5135,2559,2843,3412,3631
75,220,155,282,374,433,341,460,5412,6114,5567,6579,4257,4425,5018,5114
1818,1540,1519,1535,1873,1474,2354,1947,12717,11672,14072,11377,25317,23782,27704,25965
227,293,311,242,666,997,409,354,1249,1063,1150,808,1229,1322,733,620
3637,3264,3429,4486,6369,8456,9112,10020,11732,10234,10487,12567,14987,16421,17937,18420
947,953,1363,1212,166,563,341,177,18943,13822,17486,14609,20816,18792,22752,19671
189,146,194,404,749,823,648,672,1382,1612,1443,1734,2141,2209,2065,1770
454,623,545,767,83,86,238,141,4248,4422,4071,5019,3469,3771,3228,3727
378,513,467,323,374,867,409,778,3294,3378,2373,2468,873,1235,886,1327
719,1320,701,1657,5453,7849,7883,8356,2214,2858,2087,3114,7617,10947,11041,11322
985,733,896,767,2206,1647,1672,1522,23453,18812,19917,17453,25362,15547,19003,21750
75,330,194,282,499,780,784,920,2164,2620,2466,1861,1746,1951,2783,2585
606,330,155,363,666,650,1399,991,2386,1448,2164,1715,1311,1344,2013,1576
151,183,233,161,291,433,375,424,851,1541,994,1029,749,1214,1226,1081
871,990,896,1778,2248,2125,2150,3434,3723,4344,3734,5438,5144,4775,5388,6869
416,440,467,646,208,346,307,247,6831,6772,8062,7608,9050,9912,10591,10327
1326,1210,1169,1091,2123,3512,3515,3930,5919,6439,4996,6778,5707,7965,7559,6919
303,440,350,363,666,650,955,708,1436,1889,1364,949,1311,1236,1776,1487
1932,2054,1597,1778,2373,2038,2423,2089,9379,8816,8409,6635,7235,6369,7548,6349
1477,1137,1247,1535,1498,1691,2252,1522,4925,4622,4601,5333,9669,10067,10726,10357
11555,9354,10521,11600,18526,17477,20750,26272,17614,14570,17391,17185,24506,23303,26003,31653
2993,3484,3312,4567,6286,9107,8327,8533,16178,17963,16986,17235,19403,21632,23457,21658
189,183,77,202,333,390,273,318,1058,1338,999,1092,1185,1147,834,1098
75,293,272,242,874,867,1023,495,2612,2551,3409,3514,3179,3722,4015,2832
189,183,233,161,832,520,546,531,1082,751,1092,808,2643,1689,1790,1896
416,256,545,202,1582,1084,1604,1133,3688,3131,4295,3157,7062,4425,5749,6059
227,146,194,161,291,346,307,354,8743,6114,6718,5389,6938,5687,5906,5804
568,623,389,444,582,520,784,531,4118,3426,2803,2813,2331,2186,2556,2159
568,366,233,444,1082,520,750,495,2559,1982,1771,2137,2620,1626,2201,1520
151,220,350,282,249,520,443,460,851,714,1323,1109,540,1365,1006,1043
151,256,506,242,249,477,375,212,661,879,1498,1049,3286,3910,2865,3600
11593,4952,9898,2061,47753,28276,19556,16606,13736,5812,10985,2486,50003,29827,20694,17760
947,476,935,646,249,433,614,354,2460,2384,2180,1637,333,715,767,495
1060,953,1285,889,2373,2125,2286,1841,2421,2182,2690,2201,4077,3601,3517,3415
227,146,116,202,457,303,307,424,5828,6114,6153,5181,5204,4216,4799,4380
2917,2274,2649,2748,3455,3773,4505,3257,11092,9888,11041,8615,9364,10008,10881,8572
1704,1760,1480,1414,4246,3946,6211,8002,7679,8345,8867,9246,12563,11641,16389,16989
1250,807,1091,1293,2706,2602,2423,2513,10685,8677,10803,8981,15289,13552,14338,13443
189,183,155,242,1040,390,887,672,3157,2321,2783,2921,4180,2849,3909,3044
606,696,974,808,1623,1517,1877,1628,1061,1118,1694,1494,2290,1669,2269,1893
1022,1173,974,808,2289,2515,2423,3115,5039,5485,5473,4840,6343,7885,7997,7263
151,220,350,161,249,216,238,354,1968,1667,2262,1188,1206,888,1090,1573
303,220,311,242,666,910,784,1133,2444,2096,2494,2184,3330,3252,2833,3293
1136,1760,857,1980,3164,4206,3720,5523,2237,3486,2477,3536,4224,5900,5173,7009
416,366,389,323,791,1127,1228,601,9261,10789,8856,11548,10013,12124,11813,8984
5834,6383,4598,6345,6328,7242,7713,8674,17842,15997,13406,16271,14252,14063,15677,17384
719,403,506,606,1706,1778,1774,1133,5105,5044,5332,4330,6882,6068,6573,5810
492,623,584,646,1373,1517,1160,1274,5727,6496,4996,5879,9607,9089,8288,7917
303,440,311,727,582,780,511,708,1722,1922,1658,2607,1787,1996,1450,1825
303,440,467,202,707,867,648,708,1436,2038,2687,2127,2063,2344,2168,1878
378,586,194,282,416,433,546,318,966,1227,836,968,666,693,853,495
2121,2457,2104,1455,3663,3512,4470,4709,4277,4289,4110,2729,5619,5446,6470,6245
7690,6272,8105,7315,7951,6288,7406,10126,12227,10166,11955,11152,14780,11433,13441,17310
530,403,662,687,1082,1127,887,778,3120,2620,2548,3271,3351,3316,2881,2353
3220,4108,3546,3718,3372,3339,3856,4036,4770,5963,5575,6187,6120,6828,7503,7420
8297,7116,8690,8649,10616,10885,14470,14446,12628,11260,13926,13578,15123,14810,19661,18194
2879,2861,3974,3597,5745,7155,7440,7896,5361,5610,7010,6045,8852,9643,10989,10757
530,513,623,606,124,216,136,424,10007,8704,7250,8305,13877,10842,12410,11802
1022,953,311,687,2414,1604,1331,1805,1760,1779,936,1537,2850,2148,1825,2194
530,513,467,525,1040,867,784,956,2867,2951,2750,2198,3854,3011,2951,3366
227,256,350,404,624,693,375,601,5982,4755,4496,4989,4397,4155,3322,4492
1098,1283,1247,1535,1415,650,1194,1310,4971,5095,4485,5085,9374,7564,8181,7798
1780,1027,1363,1333,1373,954,1774,920,3334,2877,3351,2887,2041,1538,2424,1433
530,440,623,485,499,997,580,531,2444,2717,2900,2836,1435,2298,1946,1594
985,476,1091,687,1540,1040,1877,1912,7296,5815,5803,5823,5970,4248,6926,5794
1704,1834,1909,1576,1040,823,1365,1203,100287,101900,127300,78816,130103,91555,105012,120387
12843,10638,33747,12287,5787,4336,3856,4461,12843476,10638382,16873860,12287315,-9.22E+18,-9.22E+18,-9.22E+18,-9.22E+18
227,293,311,363,416,390,307,283,5412,5754,5469,5963,13010,12197,15358,13488
644,366,389,323,166,173,375,141,26836,17468,27835,16167,33306,24781,34129,35408
340,403,116,323,291,520,716,495,1230,1467,899,1193,749,954,1261,902
985,733,701,606,1124,563,1023,956,11454,11287,10628,8915,7699,3416,4046,4877
151,293,272,121,957,216,511,495,4209,3912,4471,3190,5148,2105,3302,3177
454,440,116,242,749,823,887,849,2154,2201,1885,1595,2557,2191,2201,2266
75,183,311,242,749,433,341,460,1037,935,1189,989,1687,1106,870,1009
189,256,272,282,374,693,580,106,1214,1172,1091,1010,458,737,648,229
9623,10344,11106,11761,18734,17867,23105,25812,22536,24114,24958,27481,36378,34694,45216,43455
189,293,116,242,1124,1084,546,672,12628,13974,9742,14265,25547,23569,16060,23198
492,843,428,444,749,780,614,778,4358,6591,3402,4832,2938,3548,3530,2812
530,660,740,485,499,650,409,460,10400,9045,10428,9898,21721,18586,18615,17048
568,843,545,323,3830,1127,1979,2903,1362,1302,1111,525,4433,1495,2320,3310
530,256,194,323,707,737,921,1062,25257,19752,24356,17018,25277,19401,28796,27236
265,183,194,202,416,303,443,318,6630,6793,6089,6124,5863,5621,6622,6373
303,146,389,363,457,607,614,531,7577,6987,7793,6995,6106,6391,8301,5710
113,220,155,161,208,216,273,247,1748,2057,2106,1971,1565,1762,2116,1641
378,220,350,242,499,563,955,637,15785,20009,20630,17322,9251,10842,14053,6570
189,110,155,202,457,216,443,531,1023,809,1012,1010,1375,911,1212,1521
151,73,116,121,457,346,511,212,2444,2223,2125,1496,2973,2409,3065,2124
340,330,233,404,333,693,648,566,1608,1701,1612,1698,1125,1430,1434,1345
681,623,623,646,791,823,784,708,2783,2821,3247,2099,1977,1995,2357,1806
227,110,77,242,249,867,307,531,1567,2501,1367,2287,957,1560,853,1292
757,807,1052,1212,3039,2298,2320,4886,1400,1320,1500,1636,3414,2710,2746,5508
1401,1137,1558,1778,2040,2428,2081,1982,7964,8680,9447,10649,9230,9561,10106,7715
303,366,272,363,499,1040,682,672,5317,5916,4471,6613,6843,9819,6965,7233
947,1173,1636,1616,1873,1821,2150,1876,4247,5360,5383,6032,12407,12475,12798,11656
454,366,389,323,291,216,307,389,8266,7192,9504,7348,10049,9035,10238,11128
378,733,974,727,83,303,409,141,5740,6609,7111,5087,9251,9199,9524,7868
340,183,116,161,666,433,409,354,3310,3334,3542,3759,2494,2344,2767,1945
719,1393,662,970,1373,1431,1296,1203,6790,8104,6559,7029,5772,4884,6357,5079
1363,1393,1792,1980,3372,2471,2832,2974,8973,8935,8536,7228,8473,6609,8880,6410
3561,3888,3585,3193,4704,5898,5426,5806,7194,5945,6278,5582,6720,7781,7495,7630
189,146,233,323,208,346,136,177,1082,752,1243,1070,437,628,375,442
530,586,389,202,874,390,443,708,8160,7246,6285,5774,5568,3147,4108,4141
454,623,428,687,1248,1214,1604,1664,8914,7336,7938,6871,10322,7885,11623,9675
681,550,506,485,291,216,375,424,2653,2512,1948,1858,2276,1902,2133,2213
1250,1980,1675,1374,791,910,784,531,9125,11384,9686,10571,8415,8355,10194,7587
2424,1724,2805,1859,5162,5941,6211,5275,5214,4205,5046,3841,8809,8699,9312,8179
757,513,467,485,1207,1691,2218,1416,8810,7443,8062,8818,10877,11911,13204,12209
340,330,311,485,249,260,307,424,1326,1100,936,1234,416,520,682,690
795,953,779,606,374,433,750,283,6521,6577,5607,6186,8921,6285,8833,6157
113,293,77,242,416,650,511,637,1495,2096,1590,1719,2040,2733,2611,2479
189,293,116,242,333,303,238,460,4405,4891,3896,3514,2752,2734,2437,2859
227,183,116,161,374,520,375,637,18943,15285,19484,16167,14987,14065,15642,14485
75,146,77,80,291,216,273,354,1377,1287,1367,1418,1787,1455,1161,1433
681,513,389,848,249,390,375,424,3627,2821,2278,3315,811,1172,887,1344
303,293,272,282,208,216,204,212,25257,22574,22732,17683,29738,21684,29253,26556
530,696,545,444,124,390,477,106,19644,17424,17049,17100,24979,24394,28106,21244
1856,1467,1169,767,2164,2298,1808,2159,29006,23667,21649,18284,23031,22534,24778,22039
606,440,935,970,499,910,511,778,4041,3550,4390,3702,1332,1603,1418,1734
340,366,350,242,333,260,170,389,3747,3460,2805,2724,5645,5204,5171,5644
947,990,896,1050,541,1431,1672,1168,2422,2896,2455,3713,1125,1885,2269,1912
1401,953,1052,767,999,780,887,991,22250,20293,22386,17859,34455,24394,29578,33047
151,403,428,363,915,433,682,672,2568,2726,3375,2491,3271,1953,3313,2899
568,733,584,687,499,823,546,743,1686,2145,2222,2544,2887,3646,3640,3774
1098,733,740,404,416,86,102,247,3148,2421,2509,1636,2040,1470,1599,1630
189,256,311,202,249,346,238,283,5740,5349,5375,5943,2575,3125,3024,3934
719,843,311,1091,1040,1040,1194,778,6665,6343,4723,5683,3957,3423,3878,3606
454,220,233,282,333,563,273,460,1156,973,916,1414,750,780,494,743
227,550,389,323,1290,780,853,849,719,1156,934,768,2329,1432,1554,1488
75,110,77,80,624,260,477,743,15154,13756,15587,13472,15231,12390,16476,14299
719,1063,857,1212,1915,1908,1774,1522,6259,6776,5133,6155,6426,7067,7922,6164
1363,953,818,687,1998,1344,2252,2230,52458,41468,38969,40418,52589,43368,60879,47461
568,476,740,525,749,693,682,566,6314,5481,5525,4452,4743,2689,3204,2750
378,293,350,444,249,173,443,177,5412,4514,5480,4940,8326,6424,8371,7081
378,256,584,404,1207,1301,1467,1168,1137,1172,1461,768,2081,1755,2064,1539
1439,1137,1052,1576,2081,4250,2935,3186,3788,3081,3076,4306,4097,5878,5167,6104
265,403,389,646,1207,2081,1979,2230,7800,8070,7352,6953,11076,10105,12144,14299
4243,4402,3624,4163,4288,3859,4675,3257,10079,9696,9613,10007,11748,11521,14475,10407
644,513,974,1091,208,260,238,177,4381,3378,4408,3815,3784,3771,3619,3688
719,623,818,282,1457,1474,1331,1345,2499,1741,2279,1473,3202,2666,2750,2850
113,293,194,444,791,867,750,885,4371,6244,4871,5928,6938,8761,8938,9220
303,293,428,444,999,1344,1945,1310,757,697,818,868,1624,2255,2646,1807
530,660,662,363,1124,433,955,708,1080,1100,1012,585,1498,520,1074,955
303,256,116,404,832,867,546,920,1814,1337,1113,1232,1892,2060,1533,1984
1174,1577,1480,2101,874,1170,1228,1062,1477,1723,1792,2505,915,1236,1228,1115
303,146,428,161,1124,607,887,743,6061,4733,4710,4145,8326,6459,6987,5633
719,660,857,929,1290,1474,1228,1380,12628,13206,11744,15493,16761,17765,14803,16840
492,513,1052,1374,166,173,136,141,1023,1246,1636,2202,457,716,750,671
378,183,272,202,1124,954,784,1062,2630,2512,2392,2000,5109,5483,4757,4940
9016,12289,9625,11236,6244,4943,5016,6373,15573,19662,16123,18420,12876,15027,14212,12849
644,330,389,282,291,216,614,389,7759,5692,6494,5052,14571,12755,13961,12982
151,220,77,161,457,520,273,566,13776,13756,19484,16167,7507,7434,7584,5609
20382,15517,14691,19360,33473,23939,37610,31548,30559,24057,21733,27937,45418,32526,50483,38805
1098,1100,974,1050,2456,2862,2423,2301,4146,3717,3992,3921,7797,8017,7106,7376
151,146,155,444,249,260,204,283,5828,5434,6777,5169,1643,1858,2381,2162
757,1027,1285,1131,499,1517,1194,247,2725,3762,3932,4286,6244,7905,6985,7745
681,990,974,687,1415,1387,989,1345,3852,3575,4110,3597,4551,4167,3142,4340
719,366,389,242,624,303,511,389,6427,4891,5730,3975,4336,2371,4062,3192
530,1063,1169,485,124,130,102,106,1346,2497,1849,2245,1469,1832,1896,2414
227,73,155,242,374,433,546,743,1683,1746,2135,1823,2165,1927,2084,2529
644,330,428,1010,1207,1647,1331,1380,3111,3475,3199,4141,3869,4140,3707,4761
757,733,974,1010,749,346,580,1026,3826,3861,3896,4635,1498,1192,1074,1823
151,146,272,161,499,260,341,531,4329,3412,4133,3109,3162,2739,2403,2481
265,330,428,363,874,607,409,849,2851,2038,2198,2165,2665,1927,1757,2124
189,366,233,161,249,390,136,177,2630,2911,2817,1837,6405,7096,5688,5058
606,403,545,444,582,477,614,601,5942,7205,8393,7800,3885,3223,5206,2936
833,843,506,970,957,1084,887,920,3502,3870,3226,3834,3245,3409,3007,2676
454,586,896,444,915,1040,1126,1133,7332,7622,8874,8388,8326,7767,9082,7171
265,183,233,323,291,563,307,318,1004,587,721,1010,832,1172,682,725
1932,1357,1052,1333,1623,1431,1638,1487,3943,2931,2747,2483,2728,2361,2730,2177
265,403,623,363,707,997,1160,1168,2173,1978,2847,1332,2457,2512,2730,2762
113,256,155,161,166,563,477,247,2706,3292,2734,2887,1060,1475,1264,1131
303,220,311,242,124,173,170,106,6448,4784,4723,4755,5430,4448,5884,5590
681,990,701,848,1040,1691,1194,1416,3326,3946,3578,3722,3079,3382,2797,4510
454,440,740,323,1706,1734,1808,1062,16838,14200,16096,12436,23383,19491,22059,22600
2462,2751,2260,3273,4371,5811,5324,5382,8890,7951,8249,9043,11503,13237,11937,11142
1477,843,1169,970,1956,1344,1740,2230,16983,15624,21256,19796,11245,10842,13814,9783
492,586,428,485,791,737,511,849,6156,7071,5953,6736,3803,4468,4740,3916
340,513,233,202,915,1084,887,637,6958,5770,6680,4811,6991,4138,4695,4585
1401,1247,974,1293,4163,2949,7235,3647,5454,5090,5323,4325,10129,8425,13755,9303
871,1063,857,767,1332,1344,1194,1239,3338,4123,3896,3109,4707,4451,4133,3755
189,586,272,121,249,303,341,531,757,1155,1108,830,437,455,613,708
265,366,272,282,457,216,238,460,1210,1045,1384,909,790,542,545,937
530,953,389,767,1415,1778,1023,1274,15600,17341,15587,12799,9830,10908,12335,12746
416,110,116,242,374,650,375,283,2042,1342,1646,1276,1082,1711,1483,1026
5834,3961,4988,4931,2747,2125,3310,3363,71152,51452,63140,45658,70456,48296,60191,51750
227,146,116,282,333,520,819,672,22731,24456,29227,31436,27755,28912,39004,26910
227,330,311,202,499,260,375,495,2392,3439,3086,2846,2356,1782,2681,2155
265,366,272,242,333,260,307,177,1418,1157,1245,1554,686,781,715,478
1932,1724,1558,1778,2539,2471,3481,3788,33313,24630,33886,25774,33861,26869,34811,38659
416,330,740,404,791,520,648,920,18943,15007,16827,12630,14648,9819,13509,13538
75,366,77,80,249,346,170,177,851,991,756,646,624,736,426,336
340,366,350,363,749,1040,750,389,5014,7192,5749,5596,5634,6758,7219,4476
681,440,467,687,999,1994,1672,1522,2479,1686,2435,2684,3202,4164,3581,3996
227,330,350,646,707,954,648,743,2085,1775,1855,2120,1912,2213,1995,2071
5379,5099,6468,6062,5787,6158,7064,9312,9624,12286,12228,13969,9518,9430,11754,14619
75,110,77,80,208,173,68,212,1098,1375,999,1049,791,889,564,742
568,513,389,525,1124,910,1194,885,3619,2620,3274,2985,5277,4029,4855,3848
227,183,155,242,416,910,853,708,2296,2264,2687,2245,3330,4357,5469,4291
340,330,233,444,666,737,648,283,2889,3588,4102,4194,2752,4118,3748,1953
378,330,311,404,333,216,238,247,14571,13756,11990,11227,15860,18070,17064,16523
606,660,467,727,2206,2949,1979,1664,9325,8575,10875,8872,17512,16203,17363,14223
568,293,623,525,457,346,341,389,5798,4891,5375,5838,8979,8068,10037,7637
1288,1540,1402,1374,2581,3079,3754,4248,5257,5222,5195,4943,8463,8436,11273,11181
1363,917,1013,1535,2081,2385,2457,1982,9215,9171,9295,10448,12390,13948,13961,11015
833,366,740,848,499,1561,1194,849,2083,1394,1771,1635,895,1885,1382,1274
189,403,272,242,666,607,1058,743,4405,4981,4133,3149,6225,4531,5211,5058
1439,1173,1052,970,1248,823,1296,1203,3808,3172,3940,2526,5161,4336,5026,4933
189,440,389,323,749,563,784,708,2228,1782,1891,1532,2334,1842,2336,2248
1553,2054,1714,2505,3205,4813,3583,5771,3595,4092,3388,4710,5604,6742,5513,7296
454,220,311,323,582,693,887,1133,7332,7100,7422,5774,6405,7009,7098,6437
644,843,857,444,582,520,1058,566,3500,4017,4536,2796,2625,2017,3962,2529
2273,1577,1714,1697,957,823,819,637,4225,3482,3679,2952,2892,2209,1945,1593
113,220,116,242,124,130,136,70,11365,12947,12989,16167,20816,21684,22752,23605
189,183,350,282,416,520,443,637,3157,2478,2997,2619,2554,3912,3059,3268
3674,2824,3663,3031,2456,2645,3720,3257,14244,13016,16726,13472,17545,19309,21628,15968
719,550,350,485,1623,1604,1877,1345,7657,6398,5010,8083,13094,14327,15513,14015
5304,5135,3935,5294,8285,9627,8429,9524,8810,8749,8338,8471,12347,12438,12164,12958
1363,1907,1675,1697,499,303,1092,389,4639,4552,3933,3902,2938,1817,3339,2251
1136,696,1169,1091,1332,2125,1808,2691,4289,3168,3388,4087,3330,4118,4915,4848
1591,1504,1402,1212,1540,1517,1194,1522,5304,4177,4888,3474,3667,3292,3263,3274
1970,2127,2104,2061,2164,1387,1774,2018,26987,25329,27688,22165,15918,13473,17571,15289
871,476,701,1050,541,693,716,106,1344,714,1051,1494,1061,1236,1636,389
303,366,272,444,999,780,989,1097,8419,8947,8524,9459,16116,15306,16775,13894
530,440,389,727,1332,1170,1092,1310,1004,678,700,1090,1644,1582,1569,1770
1970,3301,2766,4243,1706,2125,1399,1664,15272,17750,16567,18695,20320,17276,21201,16477
492,476,194,202,915,1604,1365,743,5727,4076,3976,3962,6188,6147,7073,5128
113,183,77,242,208,303,238,354,664,917,875,1073,727,954,904,903
530,440,467,485,374,563,580,885,3512,3213,3597,3415,7347,5812,5632,7974
113,183,77,161,666,563,307,460,2319,2015,1528,2650,3098,2193,2718,3196
454,403,506,323,416,303,170,283,10572,11209,11257,10430,13430,15977,13126,12315
340,476,428,727,1956,2645,1569,2903,1230,1740,1498,2224,3557,5116,4845,5184
189,183,155,242,208,260,341,106,397,476,292,585,249,346,358,194
1856,1687,857,848,1998,1604,2593,2018,15866,14547,14054,11317,12568,12343,17292,13919
606,660,584,687,791,1301,819,1062,1534,1575,1401,1919,1538,2492,1896,2264
1591,1944,2260,2142,2456,2688,3515,1947,11874,16760,13217,19835,11267,14534,16125,11661
265,293,311,242,582,477,614,637,8036,6669,6927,5774,9107,9541,9451,7772
227,146,194,242,124,260,170,106,12628,12228,11461,22046,24979,23655,28440,26556
265,256,77,242,582,390,614,920,3489,3378,4102,3277,4625,4289,4550,6137
227,440,428,282,166,216,102,283,2206,2786,2765,2460,2686,2744,2625,2920
530,440,584,323,707,737,921,743,2898,2700,2609,2127,2877,3191,3092,3059
227,220,233,161,582,477,375,247,3988,3100,3963,2887,12143,9735,12514,7995
795,550,389,646,541,303,477,424,11365,11229,10255,8622,18663,15977,16476,13706
568,807,545,485,624,780,682,566,5166,5604,5005,4755,3431,2945,3482,3585
568,476,311,444,957,954,989,849,9632,9350,8907,7171,13679,13251,12528,11802
2424,3778,2727,3273,1706,1604,2491,2336,7624,9763,8687,8394,7939,9494,9437,7948
378,440,428,727,291,520,409,424,4457,5002,4871,5272,7472,7767,8532,7725
3182,2457,2883,2829,3205,3512,3617,3753,6575,5783,6269,5440,5914,6284,6890,6372
75,146,194,121,249,433,375,318,1647,1371,1948,1212,1643,1235,1057,1524
303,293,272,121,166,216,341,141,21649,12759,15154,13472,41633,36140,42661,35408
416,476,194,444,1248,607,887,708,4682,4007,3542,3087,5836,4020,4286,4266
530,366,311,565,249,130,341,247,15154,16674,13554,14891,16653,18586,20075,15491
1098,2017,1285,1252,2581,1647,2320,1947,2027,3006,2492,1797,3580,2102,2952,2512
871,476,467,646,333,1040,1092,708,6268,6532,5634,6340,2686,3690,3604,2692
644,917,701,1172,1706,1951,1501,1310,8822,8413,8659,9767,10345,11756,12945,8619
757,623,740,687,1290,823,1296,708,7892,6299,5784,6190,8016,6437,7165,4917
265,256,155,161,416,173,136,70,1023,1007,428,626,645,303,204,212
454,256,701,525,1207,823,1023,1345,2011,1264,1850,1717,2641,1929,2491,2250
606,807,506,323,1915,1908,2047,956,2914,2773,2911,2245,5785,5143,4653,3366
3902,6089,4637,4607,2040,2385,3651,1168,6786,8364,8416,7199,6144,5599,6929,4848
75,73,155,202,166,173,170,318,4457,4315,5567,6124,4163,4448,4062,5224
113,256,272,242,457,390,307,460,3788,3378,4471,3415,4017,2768,3888,3712
4432,4952,2338,2667,3580,4163,4266,3682,7669,7064,4479,4544,4952,5573,6173,4883
416,1614,896,1172,457,563,1023,141,2572,4496,3331,3732,4534,4902,5719,3631
189,220,116,80,666,910,511,672,1479,1618,1719,1370,3988,3229,2959,3314
795,807,272,808,749,780,750,956,2161,1963,1737,1453,1144,1257,1211,1256
416,330,467,242,374,260,853,424,2541,2445,2767,1924,1601,996,1998,1609
